VARIABLES = "X", "X(CH3)", "X(CH4)", "X(H)", "X(OH)", "X(H2O)", "X(O)", "X(HCOP)", "X(NO)", "X(N)", "X(H2)", "X(O2)", "X(CH2O)", "X(CO)", "X(CO2)", "X(CH)", "X(H3OP)", "X(N2)", "X(NO2)", "X(E)", "X(CH2)", "temp", "u_normal", "wdot(CH3)", "wdot(CH4)", "wdot(H)", "wdot(OH)", "wdot(H2O)", "wdot(O)", "wdot(HCOP)", "wdot(NO)", "wdot(N)", "wdot(H2)", "wdot(O2)", "wdot(CH2O)", "wdot(CO)", "wdot(CO2)", "wdot(CH)", "wdot(H3OP)", "wdot(N2)", "wdot(NO2)", "wdot(E)", "wdot(CH2)", "Q"
ZONE I=713, F=POINT
0  8.95198305043e-26  0.0950226244344  8.99787327149e-22  3.91188300073e-23  6.50994515387e-20  6.14983187419e-25  3.60922782403e-31  9.08577272322e-26  2.50367227246e-38  1.21773203189e-20  0.190045248869  5.44502337005e-21  2.6127844699e-20  1.00227344344e-20  -1.5481295069e-36  9.74084774563e-28  0.714932126697  5.27062640574e-30  9.7444569724e-28  0  298  0.396498966691  3.29545363821e-25  -1.36813227314e-20  -5.28775345647e-24  1.71569589436e-22  1.52255188372e-20  -3.84201361875e-23  -3.66750801947e-51  1.19354680163e-35  -5.57138592807e-36  1.05137854705e-23  -2.72885094106e-20  2.56056082742e-20  -3.15457964731e-36  7.38337859393e-36  3.35622951364e-46  -4.34828307548e-42  1.89226595635e-54  -1.04708004166e-40  -1.25492162245e-46  0  2.34695006031e-14
0.5  8.11168614937e-24  0.0950226244344  8.15326878737e-20  3.5446857949e-21  5.89887532632e-18  5.57256484444e-23  3.27043998913e-29  8.23291737039e-24  2.26865975736e-36  1.10342702852e-18  0.190045248869  4.93391468739e-19  2.36752990665e-18  9.08192918065e-19  -1.40281111102e-34  8.82650238458e-26  0.714932126697  4.77588786452e-28  8.82977282362e-26  0  298  0.396498966691  2.98611890983e-23  -1.23970963171e-18  -4.79140724829e-22  1.55464845544e-20  1.37963431759e-18  -3.48137485084e-21  -3.01130570962e-47  1.08206655044e-33  -5.04841595554e-34  9.52688666839e-22  -2.472701552e-18  2.32020834729e-18  -2.59015212863e-32  6.06232079061e-32  2.75572215345e-42  -3.57027430689e-38  1.55369565607e-50  -8.59733118817e-37  -1.03038701667e-42  0  2.1266486085e-12
0.8125  3.50362939587e-22  0.0950226244344  3.80793976151e-18  1.52435276657e-19  2.73946515211e-16  5.65150106907e-21  1.52476552305e-27  3.8384035794e-22  6.11548229491e-34  5.14380516333e-17  0.190045248869  2.19188812383e-17  1.10380498907e-16  4.23423531497e-17  -3.90669815156e-38  4.11514859465e-24  0.714932126697  2.22664509426e-26  4.11667335973e-24  0  298  0.396498966692  2.14009077268e-21  -5.35469029139e-17  -2.23780064848e-20  1.13535603122e-18  5.9329641908e-17  -3.55497399717e-19  -6.54557708276e-44  2.92690741704e-31  -1.36086948663e-31  4.44948050896e-20  -1.06802149096e-16  1.00215294581e-16  -5.31300268372e-29  1.21546800404e-28  1.20711893162e-38  -7.76060076994e-35  1.95264896821e-46  -1.77250269975e-33  -2.23972210188e-39  0  9.17532340992e-11
0.96875  7.13421618738e-21  0.0950226244344  8.40271642511e-17  3.08382276435e-18  6.02447471896e-15  2.15919715695e-19  3.36087263767e-26  8.4605700793e-21  5.30415676431e-32  1.13369989426e-15  0.190045248869  4.69123572191e-16  2.43299571575e-15  9.33305835973e-16  1.65997586821e-41  9.07056862359e-23  0.714932126697  4.90794844214e-25  9.07392949524e-23  0  298  0.396498966692  6.95265133634e-20  -1.09036898469e-15  -4.93799943301e-19  3.72969960464e-17  1.20026088668e-15  -1.36154951792e-17  -3.18013485665e-41  2.58052292438e-29  -1.18032638226e-29  9.81835990752e-19  -2.17475083713e-15  2.04061987168e-15  -2.40048321767e-26  5.41996458967e-26  5.26972334512e-36  -3.77045121126e-32  3.73300701243e-43  -7.96468123199e-31  -1.08815839937e-36  0  1.86523842044e-09
1.125  1.91422687929e-19  0.0950226244342  2.41203980165e-15  8.21882459657e-17  1.72633879214e-13  8.61107100575e-18  9.64176815991e-25  2.42719269663e-19  3.84779544422e-30  3.25224729841e-14  0.190045248869  1.32565187169e-14  6.97984813893e-14  2.67749464584e-14  4.13004156073e-38  2.60219083481e-21  0.714932126697  1.40800638046e-23  2.60315501135e-21  0  298.000000002  0.396498966694  2.58581671792e-18  -2.92571516954e-14  -1.41747653496e-17  1.39453724197e-15  3.19886532374e-14  -5.43509319247e-16  -2.61730661479e-38  2.22960571075e-27  -8.56244390652e-28  2.81840729263e-17  -5.83522930838e-14  5.47531684718e-14  -1.84739932358e-23  4.1440155911e-23  -2.04598828731e-34  -3.1031486825e-29  7.76889157322e-40  -6.06077543572e-28  -8.95573795852e-34  0  4.99623863888e-08
1.28125  5.072639259e-18  0.095022624431  6.99720224827e-14  2.15527116095e-15  5.00020672883e-12  3.43778012436e-16  2.7954515487e-23  7.03719428849e-18  2.7887899923e-28  9.42889502783e-13  0.190045248864  3.7922321158e-13  2.02367729301e-12  7.76289828817e-13  4.36477220087e-35  7.54456887885e-20  0.714932126696  4.08225327015e-22  7.54736432958e-20  0  298.000000051  0.396498966759  9.79921921418e-17  -7.75336492842e-13  -4.11204799568e-16  5.3069594662e-14  8.38857461195e-13  -2.17127410759e-14  -2.20011309196e-35  4.28731550222e-25  -6.20585430276e-26  8.17607698017e-16  -1.54632346719e-12  1.45094123278e-12  -1.41259576564e-20  3.15071319272e-20  -2.05113880731e-31  -2.60851389415e-26  1.63251875836e-36  -4.53499847379e-25  -7.52821385223e-31  0  1.32051462801e-06
1.4375  1.2906534667e-16  0.0950226243381  2.03059294959e-12  5.38626344431e-14  1.44894209253e-10  1.3727258209e-14  8.10786409576e-22  2.04105182657e-16  2.02123813607e-26  2.73462190353e-11  0.190045248731  1.08633756027e-11  5.86942759692e-11  2.25153336439e-11  4.38241938514e-32  2.18820960294e-18  0.714932126665  1.18401011803e-20  2.18902038912e-18  0  298.000001482  0.396498968663  3.76085017291e-15  -1.9728573154e-11  -1.19350798411e-14  2.04355316037e-12  2.09639988669e-11  -8.67418194208e-13  -1.85077602373e-32  2.16120480248e-22  -4.49783238969e-24  2.37290340333e-14  -3.9344046826e-11  3.69169187972e-11  -1.02919492036e-17  2.2837525067e-17  -7.91360431527e-29  -2.19433097549e-23  3.43173971422e-33  -3.1658369349e-22  -6.3328751605e-28  0  3.34492657629e-05
1.515625  1.24009693035e-15  0.0950226233164  2.36124580416e-11  5.01128796618e-13  1.68276842964e-09  2.15831048421e-13  9.42315601642e-21  2.37215985776e-15  5.64476051908e-25  3.17812038984e-10  0.190045247264  1.24961178285e-10  6.82159090851e-10  2.61678660071e-10  6.67669010774e-30  2.54319031365e-17  0.714932126326  1.37615497382e-19  2.54413262898e-17  0  298.000017213  0.396498989594  5.74691436547e-14  -1.89580570139e-10  -1.39030612467e-13  3.13059413911e-11  1.95046874327e-10  -1.36427899616e-11  -2.49996492762e-30  2.07799218451e-20  -1.25612113512e-22  2.76186381014e-13  -3.78033364784e-10  3.54707932406e-10  -1.11759072241e-15  2.46945286183e-15  -2.5908096109e-26  -2.96402573768e-21  1.11386425051e-30  -3.14473008942e-20  -8.55422685952e-26  0  0.000318888363408
1.59375  1.53294723721e-14  0.0950226079966  3.47478183617e-10  5.96920567999e-12  2.47467623394e-08  3.82308216633e-12  1.38626535629e-19  3.48974693803e-14  1.4779793367e-23  4.67530844156e-09  0.190045225261  1.82869478865e-09  1.00354224854e-08  3.84962380622e-09  1.4487333352e-27  3.7413554704e-16  0.714932121249  2.02496806939e-18  3.74274173535e-16  0  298.000253135  0.396499303496  1.00297839885e-12  -2.34381593135e-09  -2.10064585043e-12  5.47176801017e-10  2.32355307398e-09  -2.41701222388e-10  -5.4105152669e-28  3.1972671371e-18  -3.28895270103e-21  4.12109067477e-12  -4.67312248266e-09  4.38464986587e-09  -1.9625646725e-13  4.32731109187e-13  -2.39164257261e-24  -6.41477621427e-19  4.29046729433e-28  -4.89126300948e-18  -1.8513149293e-23  0  0.00390926748552
1.6328125  7.94787734974e-14  0.0950225199332  2.21048102873e-09  2.92753335825e-11  1.57349735665e-07  2.83894589082e-11  8.8164477755e-19  2.21942846124e-13  1.55934521479e-22  2.9733728001e-08  0.190045098766  1.15895225542e-08  6.3823841747e-08  2.44830498139e-08  5.62168953837e-26  2.37945670421e-15  0.714932092052  1.29055866121e-17  2.38033834873e-15  0  298.001609535  0.396501108231  7.33854036878e-12  -1.2154313645e-08  -1.53864221843e-11  4.01740892673e-09  1.1402612145e-08  -1.79518029492e-09  -2.18857553858e-26  7.99462865074e-17  -3.47016642803e-20  2.82964597967e-11  -2.42291320514e-08  2.27309890337e-08  -6.13007832362e-12  1.34974547298e-11  -2.01255540377e-22  -2.59462884399e-17  2.87887552272e-26  -1.22460060664e-16  -7.4881413699e-22  0  0.0200758850167
