z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.19650468349983161,9.6272054619059852e-21,300.0,1.2213449355277346,0.00012561898995558208,7.3322075509341166e-16,8.4101824020412706e-16,4.3702279225518467e-10,1.9749636900325676e-20,6.7415311115203701e-07,1.0533924289045325e-13,5.184629739488569e-13,2.5936905740942411e-16,-4.1932129586087348e-17,1.720693761654211e-18,-6.537237212014005e-21,3.919089631039721e-13,7.9634639520241732e-08,1.8025901396802292e-07,2.901721889983858e-08,4.9014700223848535e-16,1.6926648900786501e-11,-6.1617617726690448e-18,3.4690318763589146e-15,2.6917552577704583e-12,-3.0571131475053452e-16,2.826438906020314e-08,1.3882200769328812e-16,2.4739798162994759e-08,2.1189079322456608e-11,0.99987137646848967,1.0759435778567947e-17,2.2658933931038923e-11,3.4748494670602728e-13,-3.6487183511202038e-16,3.1095951620838092e-17,7.5183228308747785e-16,8.67631658794103e-11,5.2893328052423631e-31,2.5542516211770439e-10,1.4881418899276556e-11,1.3867677858202062e-13,8.4917115178244023e-16,1.3518111077612495e-19,3.8608469103565124e-11,1.9940776643614864e-16,4.732451226247048e-18,1.351732026208394e-12,2.0200911863324143e-15,5.8680989389775786e-12,-4.1415784380554932e-20,1.9693447619901104e-06,1.8189957230178817e-08,4.566139259836624e-13,3.3141028285957042e-11,3.7483026315463065e-14,1.3122548705081158e-13
0.001,0.18556703185855439,11.023976596595434,300.00898628948113,1.220808631513543,0.00055798102583076942,1.5294450337413233e-15,1.1750223872955085e-17,6.2949723769383581e-09,2.1828702444588138e-19,9.5695236930543447e-06,1.5278909293150169e-12,7.5692228642202477e-12,2.3142410351366203e-16,-1.6204002862054269e-20,8.2934721675201472e-18,-3.0367206483892586e-28,5.2596368524029841e-12,1.0740663063347974e-06,2.593232826103348e-06,5.6235732442939488e-07,9.8296141039566274e-15,3.4224444844922668e-10,-5.5083077175958513e-19,7.0041741307268965e-14,5.5345905387678644e-11,-7.4925968561959306e-18,5.0998866993039694e-07,2.6083790053330253e-15,4.7052758292120273e-07,4.2757426020400477e-10,0.99939884059236117,1.3384236587429157e-16,5.2227384942373923e-10,8.0093594868920374e-12,-3.43893623391127e-16,2.8234148564310183e-17,7.0906516257222265e-15,1.264121049121841e-09,7.5394523770506017e-30,3.7052085790733883e-09,2.6212553132993871e-10,2.7039011827478475e-12,1.199818225175987e-14,1.8759464242648782e-18,7.9376173805752893e-10,4.1371352133474611e-15,4.347114542567206e-18,2.6238035731882118e-11,3.9211201045313921e-14,1.1390336429028311e-10,-7.9589155544523138e-19,2.8106282788873212e-05,2.776961716799353e-07,1.1764823210396554e-11,8.5777353153473326e-10,8.6798951113095443e-13,3.0525711814931603e-12
0.002,0.15289748859255739,22.057196645307251,300.17858775450946,1.217936336743507,0.0023927187964157318,1.7886021775426617e-14,1.8445626219990398e-17,8.6178296958155803e-08,3.6633574094112628e-17,0.00012910964994131588,2.1127173633143171e-11,1.0502549192319294e-10,1.0451300088271822e-16,-1.2133709734302596e-24,1.0462145692098939e-16,4.5666249263712797e-27,6.7219499781031602e-11,1.3775668471963873e-05,3.5457831457865885e-05,1.0336991047143633e-05,1.8735606608766972e-13,6.5616285458176294e-09,1.053850452503292e-16,1.3398900151200189e-12,1.0789445912240275e-09,-3.6417041846695741e-20,8.7318836946060941e-06,4.5214043710920181e-14,8.488908730731459e-06,8.1814995839236333e-09,0.99701583846798758,1.6372775026787134e-15,1.1406821154177265e-08,1.7492998397729035e-10,-2.2904154488917672e-16,2.3305568324331943e-17,6.3603903748110357e-14,1.75024460969896e-08,1.2042643746956643e-27,5.1080766638964377e-08,4.3817202332798535e-09,4.9997961303594175e-11,1.6621956257446246e-13,4.3312935785388056e-18,1.5472748604723229e-08,8.1365826588971774e-14,3.201330609751069e-18,4.8304988192850107e-10,7.2188952864105922e-13,2.0969937670944725e-09,-4.6542075507122943e-18,0.00038128817590608026,4.027380791474524e-06,2.8707853116504571e-10,2.1026304444465346e-08,1.9046888847660999e-11,6.7284209997149445e-11
0.0025000000000000001,0.1289475191004385,27.619208998873336,301.18586829839853,1.2103583496033667,0.0051342774625865173,7.3110061717737621e-14,5.0295840157241966e-16,4.3597990851155978e-07,1.0007666042945898e-15,0.00064509023305692333,1.1197335918304391e-10,5.3731718633793066e-10,2.7216884460178601e-17,5.6732486844123112e-26,6.0606457468187655e-16,2.0616703628277306e-25,3.2537799599439086e-10,6.6025512831666244e-05,0.00017920911950093858,6.7205547168058642e-05,1.283263688516539e-12,4.4249809860418944e-08,7.9049086824014982e-16,9.2528739659059434e-12,7.3827059778373155e-09,-1.4187006691712258e-22,5.3390961016431264e-05,2.8421076595457341e-13,5.4301750319264518e-05,5.5091864852908071e-08,0.99186302654741609,8.5724982573821192e-15,8.6280732336905354e-08,1.3231628703673858e-09,-1.1819283706287184e-16,6.2838616759086175e-17,2.2991249182162283e-13,8.9361658657184349e-08,2.5785087571279791e-26,2.5994642055070231e-07,2.6237576665329547e-08,3.2674026812344924e-10,8.5010320208003139e-13,2.8826805996055753e-18,1.0586911004063131e-07,5.6012015499130811e-13,1.7545257278264492e-18,3.1447859442673999e-09,4.6996984929909418e-12,1.3652003378707444e-08,-5.6191479859044955e-18,0.0019147828056121209,2.1380849050134756e-05,2.3962225453801758e-09,1.7631899117349929e-07,1.4474589674030897e-10,5.1308882406831388e-10
0.0030000000000000001,0.10186766781206838,33.449330893993078,308.06860815120496,1.1751024073094316,0.01079682992608807,2.5254525656181817e-13,9.7461841185457525e-15,2.2586336701251087e-06,2.9500816649148172e-14,0.0032922265107795789,6.6180382664601426e-10,2.8164544982347386e-09,1.7193465197368488e-18,6.1740261307027312e-25,4.8537706575992603e-15,1.9010652430899011e-23,1.6712863929717634e-09,0.00032309514614493266,0.00092770191746149855,0.00045230349873484843,9.3599080185185293e-12,3.0913609059275517e-07,6.752150810011566e-15,6.6773006572766387e-11,5.236516572617811e-08,5.8877991402285942e-25,0.00033709738619487877,1.9936491389836248e-12,0.00035925176091613641,3.8471340783145959e-07,0.97353363333246645,5.5913783420940766e-14,6.7935527369500384e-07,1.0418279910420981e-08,-2.4416807127605301e-17,3.9258152218524187e-16,8.3807882213528333e-13,4.6666859655757222e-07,6.0664042510255778e-25,1.3553284323022383e-06,1.6197298920165007e-07,2.2107714398449793e-09,4.4481234272172114e-12,4.3435179212437022e-19,7.5087183510830617e-07,3.9859438034903452e-12,3.4415988335895948e-19,2.1193875715406999e-08,3.1673035634496159e-11,9.2005983407129273e-08,1.3627225731176833e-18,0.0098532678161490431,0.00011647039127923399,2.0879534600036703e-08,1.5460699820746171e-06,1.1467564710185547e-09,4.0741644240202779e-09
0.0032500000000000003,0.089250141575606165,36.855677690322558,322.21128874109303,1.1159233456011604,0.015212808777168735,6.4242104293009518e-13,4.8517214053742349e-14,5.2551355599767745e-06,2.0720934080475149e-13,0.0075605927418420761,2.273305771726078e-09,6.6012698419144682e-09,1.1279766903586851e-19,4.9548931986822652e-24,2.4803602446278655e-14,3.8097801936516706e-22,4.5819675162760744e-09,0.00072482027362736408,0.0021582016289925137,0.0012485158539049703,2.9873372788797239e-11,8.7396885134490864e-07,3.3781775033245355e-14,1.9950556247210902e-10,1.4961482350425931e-07,2.4636891746431106e-23,0.00089134309728074895,8.8773389833202645e-12,0.00097969807771238707,1.0912200787245706e-06,0.94805879373906232,2.5756594542336246e-13,2.0896803256264412e-06,3.2046291612059309e-08,-5.2520607659524033e-18,1.8768420421244474e-15,1.5896011897134029e-12,1.0879732541075962e-06,6.118580119735619e-24,3.1678722271779887e-06,4.2081256632087346e-07,6.1242458187415127e-09,1.0371859648356059e-11,4.7125077535001314e-20,2.1451527820872798e-06,1.1297870626330092e-11,8.4523957788320253e-20,5.8551744849819174e-08,8.7502563761978289e-11,2.5418335519068529e-07,1.3936221089215388e-17,0.022863695771295593,0.00027965379912551521,6.8467435514296743e-08,5.1454516818270299e-06,3.5708528459754719e-09,1.2607133595113912e-08
0.0035000000000000001,0.079271280885011342,41.281303510379935,356.96927842323709,0.9969046435687451,0.020574803400665521,2.3783811387657084e-12,2.0208950804849436e-13,1.1474502078988847e-05,1.2521866087063645e-12,0.016174857794947546,8.6177979824378107e-09,1.4516759899072714e-08,4.6657609067023722e-21,6.0870421283790321e-23,1.2550294437588593e-13,9.2370461934954897e-21,1.3364590784409005e-08,0.0015243492008760115,0.0047148300163699797,0.0032272775675520064,9.6201315646898657e-11,2.3056449794979514e-06,1.6942603240384062e-13,5.5399782908693416e-10,3.9905108759155086e-07,1.702158971964243e-21,0.0022070170462168445,4.8806721007890254e-11,0.0024988877383851009,2.9055218952424758e-06,0.89846725514068038,1.290404936197527e-12,6.0121988988843403e-06,9.2199670104696262e-08,1.3323453435656124e-18,1.4118489005107333e-14,2.8598421755676593e-12,2.3651105616908745e-06,1.5213417071084082e-22,6.9545043959780402e-06,1.0203453052848109e-06,1.5884363096293936e-08,2.2614052746652295e-11,3.3719374894999057e-21,5.7188846030113745e-06,2.9608545590644945e-11,1.3454057058639409e-19,1.5144658778376237e-07,2.2633128682672689e-10,6.5746219067422564e-07,5.8490809036651954e-17,0.049924896114035812,0.00062937152180855924,2.0868016226947797e-07,1.60885892156971e-05,1.0456036740365884e-08,3.649142936693775e-08
0.0036249999999999998,0.075354378571824185,44.154939786745331,386.88578880331079,0.9135439031126639,0.023543409976104501,6.0145164624502162e-12,5.0097522267266254e-13,1.6393192120797136e-05,3.2101725687861333e-12,0.022757936767411033,1.9642176285285413e-08,2.0803483552019451e-08,3.983963850481525e-22,3.5772089108137959e-22,3.4646197371289126e-13,6.3954599798457236e-20,2.5041111765541461e-08,0.0021363042842458993,0.0067391285481696534,0.0050056524314954446,1.9503712316761968e-10,3.6015977693249708e-06,4.1998872921357659e-13,9.0946896916595144e-10,6.2707569915099203e-07,2.280926482906926e-20,0.0033500647443594263,1.6187742968991901e-10,0.0038465464524745216,4.597462216524126e-06,0.86017820602264261,3.6717802744203561e-12,9.8362839232227607e-06,1.5084284238078126e-07,1.0029800270242036e-17,5.4204201784491695e-14,3.7749192108806366e-12,3.3561636139689013e-06,1.2172267593691898e-21,9.9701898076550443e-06,1.5240822168239081e-06,2.4675978684989991e-08,3.2139805388551609e-11,9.7354888204706103e-21,8.9834083004708176e-06,4.5144964348355394e-11,5.638358622213735e-19,2.3493396864329949e-07,3.5110661137520931e-10,1.0199170421823721e-06,1.6519589054206797e-16,0.071442613178299016,0.00091175628989470839,3.4440551652404217e-07,2.7572626620199989e-05,1.7365764041097763e-08,5.9881962843700059e-08
0.0037499999999999999,0.071666898761077388,47.598781612767397,426.65897654856502,0.8219533994603876,0.026546390835663562,1.6733804705030986e-11,1.0801902485283641e-12,2.2601838017663983e-05,7.3713817662779344e-12,0.030788118151144763,4.3015803779726776e-08,2.8750768468741663e-08,3.5753126589945582e-23,2.1064779208380655e-21,8.4334248832535423e-13,4.724286966934067e-19,4.6127575720496397e-08,0.0028907566844645111,0.0092967038426339278,0.0074426559798155476,3.9950812826593542e-10,5.3740700313718544e-06,9.524228593920364e-13,1.4186742325567812e-09,9.4128856740743505e-07,3.1194714428514828e-19,0.0048811346775525363,5.0565761550361828e-10,0.0056739541806664663,6.9919733639557422e-06,0.81229308347555385,9.3846217280313639e-12,1.5358002267830008e-05,2.35518445133935e-07,4.3944705667236854e-17,2.0102086899791837e-13,4.9083206779683043e-12,4.5795317069387153e-06,1.1166647474256313e-20,1.3800831232648058e-05,2.1760773365820562e-06,3.6737292432476303e-08,4.3962429780761307e-11,7.9312244624131872e-20,1.3478459777794305e-05,6.4417722006529595e-11,2.1941139133596897e-18,3.4928972827591229e-07,5.2202805777311497e-10,1.5164183024914147e-06,5.2644529956364856e-16,0.098781428655520781,0.0012724412981716827,5.3379159949515015e-07,4.5116264520845589e-05,2.7490651466217746e-08,9.3746098196974808e-08
0.0038124999999999999,0.06968448178617731,49.525407370447269,450.11592463507151,0.7757865090560835,0.028075971646135154,2.9502661535483137e-11,1.6355427287318472e-12,2.6244854605443678e-05,1.1079680271942854e-11,0.035359675035437882,6.4148881088322739e-08,3.3406404010122895e-08,7.4419402177761189e-24,5.5408908102014123e-21,1.3387020601660824e-12,1.3803900212549327e-18,6.2960097151587277e-08,0.0033257720381850812,0.010797056554810768,0.0089484407822410152,5.8167974753824642e-10,6.4614245857142921e-06,1.4334709693414815e-12,1.7479001311679715e-09,1.1351417736117761e-06,1.15816604197318e-18,0.0058129143002869114,9.3893042556080913e-10,0.00679395578566143,8.5239059311933059e-06,0.78433162410906632,1.5068394773276625e-11,1.8883640118985364e-05,2.8958311656000223e-07,1.0659509010728012e-16,4.0859587754802637e-13,5.6176004538029153e-12,5.282264960930471e-06,3.5367730527110413e-20,1.6062014998606367e-05,2.5564207127379656e-06,4.4192860308358512e-08,5.0809912066778134e-11,2.4504938892280855e-19,1.6253415623488888e-05,7.4204580263619172e-11,4.6840504527962427e-18,4.1989986744264871e-07,6.2757770216695906e-10,1.8230224874458617e-06,1.0468805191758558e-15,0.11490755930977528,0.0014853084633463065,6.4405287850814085e-07,5.6784218382096976e-05,3.3943908838638818e-08,1.1537567114477977e-07
